"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
1932, 6.899999999999885e+00, 1.500000000000000e+01, -2.987505018289401e-01, -5.975010036578803e-01, -1.376612443755362e-05, 0.000000000000000e+00, 0.000000000000000e+00
1933, 6.929999999999885e+00, 1.500000000000000e+01, -2.982607055250800e-01, -5.965214110501600e-01, -1.409122735180814e-05, 0.000000000000000e+00, 0.000000000000000e+00
1934, 6.959999999999885e+00, 1.500000000000000e+01, -2.977419683979414e-01, -5.954839367958827e-01, -1.353382359921438e-05, 0.000000000000000e+00, 0.000000000000000e+00
1935, 6.989999999999886e+00, 1.500000000000000e+01, -2.973574052605458e-01, -5.947148105210917e-01, -1.300355074344584e-05, 0.000000000000000e+00, 0.000000000000000e+00
1936, 7.019999999999886e+00, 1.500000000000000e+01, -2.971305755612417e-01, -5.942611511224833e-01, -1.284612536851086e-05, 0.000000000000000e+00, 0.000000000000000e+00
1937, 7.049999999999886e+00, 1.500000000000000e+01, -2.968387215526997e-01, -5.936774431053995e-01, -1.300180367566704e-05, 0.000000000000000e+00, 0.000000000000000e+00
1938, 7.079999999999886e+00, 1.500000000000000e+01, -2.963174139740578e-01, -5.926348279481156e-01, -1.354812789125457e-05, 0.000000000000000e+00, 0.000000000000000e+00
1939, 7.109999999999887e+00, 1.500000000000000e+01, -2.957043911623898e-01, -5.914087823247796e-01, -1.400305618019086e-05, 0.000000000000000e+00, 0.000000000000000e+00
1940, 7.139999999999887e+00, 1.500000000000000e+01, -2.952555026422759e-01, -5.905110052845518e-01, -1.368664460401292e-05, 0.000000000000000e+00, 0.000000000000000e+00
1941, 7.169999999999887e+00, 1.500000000000000e+01, -2.949808154918759e-01, -5.899616309837519e-01, -1.333988501221362e-05, 0.000000000000000e+00, 0.000000000000000e+00
1942, 7.199999999999887e+00, 1.500000000000000e+01, -2.946745823132734e-01, -5.893491646265469e-01, -1.352895225252583e-05, 0.000000000000000e+00, 0.000000000000000e+00
1943, 7.229999999999888e+00, 1.500000000000000e+01, -2.942494634079256e-01, -5.884989268158511e-01, -1.369425938168299e-05, 0.000000000000000e+00, 0.000000000000000e+00
